source,target
Q16254,Q9UJM3
Q16254,Q05513
Q16254,P12755
Q16254,O95382
Q16254,P28908
Q16254,P21127
Q16254,Q96AX9
Q16254,Q8N165
Q16254,P09769
Q16254,Q9P2S5
Q16254,O00329
Q16254,Q9P2K9
Q16254,Q15418
Q16254,Q9BXM7
Q16254,Q8TAD8
Q16254,Q96PN8
Q16254,Q96DI7
Q16254,F5H3M4
Q16254,Q9NSS8
Q16254,P78348
Q16254,P63261
Q16254,Q04771
Q16254,P09874
Q16254,P25098
Q16254,P63010
Q16254,P31751
Q16254,Q16671
Q16254,O15392
Q16254,Q99728
Q16254,P38398
Q16254,P51587
Q16254,O43683
Q16254,P20248
Q16254,P14635
Q16254,P51959
Q16254,Q16589
Q16254,O60563
Q16254,P15391
Q16254,P10747
Q16254,P06493
Q16254,Q12834
Q16254,P24941
Q16254,Q16878
Q16254,O14757
Q16254,O00299
Q16254,Q12860
Q16254,Q05048
Q16254,P35222
Q16254,Q9UQB3
Q16254,P98082
Q16254,Q92466
Q16254,Q13409
Q16254,Q16828
Q16254,Q9H8V3
Q16254,P68104
Q16254,O00423
Q16254,P54764
Q16254,P54762
Q16254,P42566
Q16254,P03372
Q16254,P14921
Q16254,P39748
Q16254,P05230
Q16254,P09038
Q16254,P21781
Q16254,P31371
Q16254,O15520
Q16254,P21462
Q16254,P17677
Q16254,P54826
Q16254,P17302
Q16254,P09471
Q16254,P62879
Q16254,P50150
Q16254,Q14451
Q16254,Q14449
Q16254,Q8WUA4
Q16254,Q02297
Q16254,P08833
Q16254,P05231
Q16254,P40933
Q16254,O15357
Q16254,P56199
Q16254,P13612
Q16254,P08648
Q16254,Q13683
Q16254,P46977
Q16254,Q14974
Q16254,P52292
Q16254,O00505
Q16254,P05783
Q16254,P49917
Q16254,Q15796
Q16254,Q99717
Q16254,Q99683
Q16254,P55196
Q16254,O94972
Q16254,P46934
Q16254,P51955
Q16254,P51956
Q16254,Q04721
Q16254,O15259
Q16254,O43847
Q16254,Q01973
Q16254,Q16832
Q16254,P43354
Q16254,Q13153
Q16254,O60260
Q16254,P12004
Q16254,Q15118
Q16254,P11309
Q16254,P27986
Q16254,P53350
Q16254,O43660
Q16254,Q13131
Q16254,P54646
Q16254,Q13976
Q16254,P31152
Q16254,P45984
Q16254,Q02750
