source,target,Edge Type,Unknown
AATF,BAX,Repression,22909821
AATF,MYC,Activation,20549547
MYC,ASS1,Activation,19934275
MYC,BMI1,Activation,21856782
MYC,BRD7,Repression,19111069
MYC,CCND1,Repression,14757441;8196642
MYC,CCND2,Activation,9339900
MYC,CCNE1,Activation,20607601
MYC,CD33,Repression,19259613
MYC,CD38,Activation,11519042
MYC,CDC25C,Activation,22446629
MYC,CDC34,Activation,21252116
MYC,CDK4,Activation,22395148
MYC,CDK6,Activation,22395148
MYC,CDKN1A,Repression,12553001;19150257;21042278;22371483;23804320
MYC,CEBPA,Repression,19259613
MYC,CFLAR,Repression,20348907
MYC,CHEK1,Activation,23269272
MYC,CHEK2,Activation,23269272
MYC,CXCR4,Activation,10229837
MYC,DKK1,Repression,20697356
MYC,EBNA1BP2,Activation,22169551
MYC,FASLG,Activation,12655294
MYC,FOXM1,Activation,20658516
MYC,FTH1P18,Repression,16466700
MYC,FUT3,Activation,22547830
MYC,GATA1,Repression,18838534
MYC,GATA4,Activation,23239811
MYC,HDAC2,Activation,20697349
MYC,HLA-A,Activation,8206526
MYC,HLA-B,Activation,8206526
MYC,HLA-C,Activation,8206526
MYC,HLA-E,Activation,8206526
MYC,HLA-F,Activation,8206526
MYC,HLA-G,Activation,8206526
MYC,HNRNPA1,Activation,20010808
MYC,HNRNPA2B1,Activation,20010808
MYC,IFNA1,Repression,16270532
MYC,IGF2BP1,Activation,21252116
MYC,IGK,Activation,11795942
MYC,IPO7,Activation,22284678
MYC,JUNB,Repression,18838534
MYC,KRAS,Activation,21252116
MYC,LDHA,Activation,9723176
MYC,MME,Activation,11519042
MYC,MST1,Repression,24499724
MYC,NDRG1,Repression,11936845
MYC,NFE2,Repression,18838534
MYC,NOL7,Activation,20206243
MYC,ODC1,Activation,21874531;8262968
MYC,PMAIP1,Activation,22216287
MYC,PRDX3,Activation,12011429
MYC,PRODH,Repression,22615405
MYC,PTBP1,Activation,20010808
MYC,SFRP1,Repression,20697356
MYC,SRSF1,Activation,22545246
MYC,ST3GAL1,Activation,22547830
MYC,ST3GAL3,Activation,22547830
MYC,ST3GAL4,Activation,22547830
MYC,SURF1,Activation,10858544
MYC,SURF2,Activation,10858544
MYC,TERT,Activation,10022128;15595642;18226852;18754863;21132266;22207128
MYC,TFAP4,Activation,19270520
MYC,TFRC,Activation,16466700
MYC,TNFRSF10B,Activation,15144957
MYC,TP53,Activation,8494784
MYC,TP73,Activation,11115495
MYC,UBE2C,Activation,22170434
MYC,VEGFA,Activation,19398483
MYC,WRN,Activation,12842909
MYC,XPO1,Activation,22284678
ABL1,BAX,Activation,11753601
ABL1,BCL2,Repression,11753601
ABL1,BCL6,Repression,15509806
ABL1,CCND2,Activation,15509806
ABL1,CDKN1A,Activation,11753601;9916993
ABL1,CSF1,Activation,23418320
ABL1,FOXO3,Activation,15509806
ABL1,JUN,Repression,19357699
ABL1,PIM1,Activation,15145216
ABL1,TP53,Activation,11753601
BCL6,BCL2L1,Repression,11777915
BCL6,BCL6,Repression,12407182
