params,score
"[  2.26971136   1.29360181   0.6744051    3.12591295   5.14519848
 499.88669585]",115600.75752417285
"[2.58059847e+00 1.54370308e+00 2.26361772e-01 3.49805489e+00
 5.63445111e+00 4.99823771e+02]",559505.3365666363
"[  2.15479925   1.17416318   0.51099004   3.29168805   4.91024703
 499.91052   ]",181476.7982604847
"[2.92941411e+00 1.46403802e+00 4.54543274e-01 3.07543404e+00
 4.87215888e+00 5.00018348e+02]",48842.16588661051
"[1.94352079e+00 1.13523898e+00 3.79467264e-01 3.21839731e+00
 4.89117313e+00 5.00171779e+02]",inf
"[2.81465697e+00 1.10147055e+00 2.36903993e-01 3.08163115e+00
 4.87410727e+00 5.00116765e+02]",842.1908000387281
"[  2.20577015   1.15331602   0.82748209   2.99456023   4.98455114
 500.64956653]",360000.7839648612
"[2.45811419e+00 1.29266170e+00 4.69757786e-01 3.15874433e+00
 5.33341004e+00 5.00150733e+02]",1555010.3478164962
"[1.84585459e+00 1.19125980e+00 2.69270762e-01 2.79431447e+00
 5.19784749e+00 4.99650868e+02]",inf
"[  2.11967084   1.10030707   0.50921269   3.15282709   4.9070444
 500.21520414]",88804.84171743596
"[2.98848527e+00 1.17909546e+00 5.65505390e-02 3.38108940e+00
 5.01859389e+00 4.99769973e+02]",247010.11388908842
"[2.71755941e+00 1.14627937e+00 4.53551407e-01 2.88798139e+00
 4.88536237e+00 4.99562411e+02]",7570.220865560045
"[  3.35882885   1.12673492   0.66139261   2.70779989   5.01669266
 500.06265444]",632026.1810313021
"[2.67632633e+00 1.75934897e+00 2.88020299e-01 2.75493282e+00
 5.16970208e+00 5.00048726e+02]",5777.201673595553
"[3.03446266e+00 1.10010025e+00 3.86410933e-01 3.24770691e+00
 4.48799309e+00 4.99716920e+02]",361202.16397073166
"[2.75882586e+00 1.10309433e+00 1.77935278e-01 2.96427437e+00
 4.62035590e+00 4.99918810e+02]",96722.12878311943
"[3.13928598e+00 1.18281105e+00 2.75471715e-01 3.26772980e+00
 4.77016234e+00 5.00068029e+02]",401957.1756928577
"[  3.12562879   1.24968702   0.52597427   3.23660492   5.1969072
 499.86869056]",368450.16890909115
"[2.65191525e+00 1.59137187e+00 4.58086279e-01 2.70199105e+00
 5.25967238e+00 4.99844003e+02]",577.2039873840363
"[2.84119893e+00 1.40684231e+00 3.00191564e-01 3.32811064e+00
 5.10046177e+00 4.99848245e+02]",14401.151542258904
"[2.95482544e+00 1.29525238e+00 1.66525617e-01 2.97937631e+00
 4.87325134e+00 5.00049937e+02]",118337.12696820604
"[2.38213565e+00 1.83425567e+00 3.37352720e-01 2.41816394e+00
 5.68355011e+00 5.00324227e+02]",2088026.3779271974
"[  2.58341555   1.10555939   0.72199622   2.8738286    5.22828232
 499.93967289]",117650.23056564797
"[  2.63121597   1.55834938   0.73719384   2.89989077   4.62796215
 499.22073913]",16130.227353822313
"[2.56054963e+00 1.23068588e+00 3.03947368e-01 2.79606071e+00
 5.16036471e+00 5.00155869e+02]",1267877.3458735745
"[2.82395706e+00 1.49499802e+00 2.12295392e-01 2.80091341e+00
 5.22669769e+00 4.99868229e+02]",74530.15386847954
"[2.81480425e+00 1.21249406e+00 3.58847340e-01 3.16726561e+00
 5.18903671e+00 4.99622012e+02]",58082.12167267732
"[2.80269774e+00 1.10140382e+00 9.51033555e-02 2.49549591e+00
 4.70054845e+00 4.99563993e+02]",3845.1625251787386
"[  2.50082641   1.40846929   0.7427039    3.15959316   5.07307859
 499.64352811]",1833317.329387838
"[2.53363698e+00 1.19159453e+00 4.59418435e-01 2.78049662e+00
 5.06528081e+00 4.99715228e+02]",755162.3233869284
"[2.84976262e+00 1.23142241e+00 4.23350862e-01 3.08713975e+00
 4.80311656e+00 4.99673519e+02]",2501.201393432061
"[2.79025695e+00 1.27181185e+00 1.46570831e-01 3.29315718e+00
 5.20512385e+00 5.00216904e+02]",22202.22938771338
"[  2.52129998   1.50754746   0.76061966   2.65612798   4.77197287
 499.39086427]",1703026.3245751637
"[2.79725341e+00 1.19840051e+00 1.61356641e-01 3.06896061e+00
 5.45429635e+00 5.00209952e+02]",1937.1950792677203
"[3.04539374e+00 1.36126091e+00 1.99855977e-01 2.88522912e+00
 5.10132073e+00 4.99407951e+02]",207937.1477752676
"[2.78355810e+00 1.55587866e+00 2.01540100e-01 2.60832777e+00
 4.71885088e+00 4.99769502e+02]",1445.1509986565281
"[2.67779155e+00 1.12814542e+00 2.20879719e-01 2.94885546e+00
 4.58900376e+00 4.99305029e+02]",297026.2970078723
"[2.88159703e+00 1.18970860e+00 7.10532866e-02 2.61833824e+00
 4.70598129e+00 4.99861222e+02]",105626.122689511
"[2.56922581e+00 1.20839873e+00 8.81849109e-02 3.27286636e+00
 5.04649156e+00 5.00062546e+02]",265226.2611254351
"[2.51162854e+00 1.14724137e+00 2.34079721e-01 2.82158113e+00
 4.73761541e+00 4.99981521e+02]",1232101.3236020182
"[2.99611353e+00 1.22288151e+00 5.54275170e-02 2.70035397e+00
 4.96598715e+00 5.00045101e+02]",330626.13220852846
"[2.77498063e+00 1.41258524e+00 1.97981532e-01 2.57815607e+00
 5.07795926e+00 5.00207906e+02]",15626.161323076556
"[2.84748549e+00 1.34598118e+00 2.73940347e-01 2.70886650e+00
 5.27509619e+00 4.99997459e+02]",3970.1788730153644
"[2.93453532e+00 1.15950442e+00 2.68725344e-01 2.82493356e+00
 4.48539739e+00 4.99869524e+02]",139130.14185096993
"[2.62006422e+00 1.56882134e+00 5.03745510e-02 3.12396587e+00
 4.53273503e+00 5.00258114e+02]",447562.2527956282
"[2.83749820e+00 1.52995471e+00 5.04211726e-02 2.15834003e+00
 5.01445177e+00 5.00158324e+02]",78401.08550183561
"[2.83936540e+00 1.39064509e+00 3.33841607e-01 2.72256384e+00
 5.28506942e+00 5.00263676e+02]",59537.1599667836
"[3.01852011e+00 1.51583378e+00 5.20123563e-02 2.10879873e+00
 4.80309135e+00 5.00224719e+02]",225626.09591124248
"[  2.578989     1.50544369   0.57832355   2.82141148   5.31335834
 500.10047192]",237170.2872916216
"[  2.64050751   1.13916471   0.53112714   3.08261703   5.20088038
 500.49860249]",13226.22292643392
"[2.70760290e+00 1.42287281e+00 2.74419723e-01 2.80560820e+00
 5.05123628e+00 4.99982019e+02]",418610.26564538555
"[2.86425806e+00 1.12014191e+00 2.21920923e-01 2.79826297e+00
 4.57056669e+00 4.99999892e+02]",36865.14261876332
"[2.83392959e+00 1.33172822e+00 4.51071158e-01 2.77292122e+00
 5.09511731e+00 5.00297920e+02]",119026.1186618034
"[2.15996451e+00 1.40507688e+00 1.60553555e-01 2.49401912e+00
 5.20777506e+00 5.00146282e+02]",19321.724257827296
"[2.50217502e+00 1.16330263e+00 4.41235441e-01 2.86953835e+00
 5.09421240e+00 5.00253692e+02]",207026.25983753515
"[2.71776048e+00 1.16936380e+00 3.02423406e-01 2.52311670e+00
 5.62344824e+00 5.00334374e+02]",37.212453704403124
"[2.75293252e+00 1.63119485e+00 4.77122250e-01 2.95244814e+00
 4.59630197e+00 5.00363596e+02]",1226.1873145892177
"[2.70058798e+00 1.10046126e+00 2.22465185e-01 3.13028317e+00
 5.07854205e+00 5.00174037e+02]",164026.27015991905
"[2.78367512e+00 1.22934290e+00 1.83344280e-01 2.97532707e+00
 4.67477406e+00 5.00152906e+02]",25922.161855013033
"[2.29373715e+00 1.40082685e+00 3.86786017e-01 3.11850898e+00
 5.62896670e+00 5.00114974e+02]",774400.7537862649
"[2.32849423e+00 1.80744359e+00 4.03672445e-01 2.83319065e+00
 4.92973812e+00 5.00234310e+02]",1317904.790006924
"[  2.77789308   1.10973008   0.56057611   3.07313831   4.82157051
 500.01105808]",12322.233679403595
"[2.67400226e+00 1.52542963e+00 2.34180308e-01 3.21521969e+00
 5.39684046e+00 5.00092064e+02]",26.217250909792668
"[2.63154870e+00 1.57020451e+00 2.64193736e-01 2.48231459e+00
 5.38601715e+00 5.00131708e+02]",53825.23647158393
"[2.29555089e+00 1.21294090e+00 3.19716527e-01 3.05288141e+00
 5.10185956e+00 5.00258011e+02]",436921.83753649244
"[  2.66055802   1.1221714    0.5020968    3.34376764   5.31536518
 499.9656944 ]",146690.28170334472
"[2.51652192e+00 1.29112535e+00 3.86790675e-01 2.74352345e+00
 5.39218949e+00 5.00234447e+02]",1368901.3641924772
"[2.98341024e+00 1.52805037e+00 1.89330250e-01 2.66926029e+00
 5.67033616e+00 5.00444591e+02]",253010.1338184644
"[2.56368856e+00 1.12023341e+00 4.94700460e-01 3.25123791e+00
 5.12132832e+00 5.00281708e+02]",651250.3236565636
"[3.12320366e+00 1.58848120e+00 3.90780795e-01 2.60325009e+00
 5.10582185e+00 5.00114891e+02]",395642.15921146027
"[2.30628020e+00 1.44931580e+00 2.23977924e-01 2.97819720e+00
 5.31683491e+00 5.00567537e+02]",1338649.793052346
"[2.73290460e+00 1.86989483e+00 1.06854166e-01 2.88121105e+00
 5.33296335e+00 5.00241654e+02]",104977.08958719746
"[2.75591563e+00 1.79925084e+00 7.16077499e-02 2.77859257e+00
 5.28012780e+00 5.00240307e+02]",46226.096409300044
"[2.51268298e+00 1.15775982e+00 4.11294414e-01 2.96799549e+00
 5.62169362e+00 5.00016549e+02]",265226.2470511697
"[2.78429370e+00 1.53482637e+00 1.56924734e-01 2.71640295e+00
 5.61114407e+00 5.00161373e+02]",12545.13120673987
"[2.58879035e+00 1.69589939e+00 2.48477354e-01 2.95946169e+00
 5.53118732e+00 5.00161500e+02]",480250.2680980379
"[2.54848039e+00 1.10191599e+00 5.00385732e-02 2.98633336e+00
 5.26332498e+00 4.99992866e+02]",1718722.3137964786
"[2.52607199e+00 1.42956466e+00 1.87266733e-01 2.51368475e+00
 5.75978293e+00 5.00035687e+02]",285157.27975147543
"[2.84769973e+00 1.49082990e+00 4.21391618e-01 3.20797823e+00
 5.10851407e+00 4.99912125e+02]",5042.206621533934
"[2.87009887e+00 1.68167860e+00 1.06017399e-01 2.19593154e+00
 5.53374060e+00 5.00249160e+02]",30626.143491477582
"[2.60913475e+00 1.41419455e+00 4.47426201e-01 2.76457510e+00
 5.21413786e+00 4.99935165e+02]",82370.29153105448
"[2.88875364e+00 1.68712737e+00 3.29627566e-01 2.84638907e+00
 5.34225173e+00 5.00193171e+02]",93026.15547239112
"[  2.93636425   1.61838796   0.52337241   2.4397421    5.34879452
 500.02927714]",112897.11346494828
"[2.89571012e+00 1.30224418e+00 4.02993758e-01 3.14759240e+00
 5.10518537e+00 5.00219006e+02]",81797.15193488552
"[2.71006110e+00 1.53145098e+00 4.01875293e-01 2.99796315e+00
 5.52607366e+00 4.99915962e+02]",7226.189650055573
"[2.70388033e+00 1.65112367e+00 2.02322785e-01 2.66801029e+00
 5.57182673e+00 5.00160340e+02]",730.2031112068535
"[2.92218311e+00 1.44641419e+00 4.77430894e-01 2.95396788e+00
 5.16709663e+00 5.00383587e+02]",191845.1369193506
"[2.97102930e+00 1.93878347e+00 3.05037769e-01 3.17618344e+00
 5.46254498e+00 5.00126815e+02]",164837.1427615096
"[2.83523334e+00 1.52468354e+00 3.29990430e-01 3.30599739e+00
 5.66068933e+00 4.99948668e+02]",71290.1454353534
"[3.00535604e+00 1.68153273e+00 2.13721810e-01 3.33397396e+00
 5.48587788e+00 5.00044377e+02]",546122.1657325367
